;Daypart Name;Daypart Sales $;Encoded_REST_KEY
310;After 4PM;1627.39;Store1
311;Afternoon;736.38;Store1
312;Breakfast;646.95;Store1
313;Dinner;1375.57;Store1
314;Evening;251.82;Store1
315;Late Night;0.0;Store1
316;Lunch;937.46;Store1
317;Morning;646.95;Store1
318;Regular Menu;3301.23;Store1
319;Total Day;3948.18;Store1
320;After 4PM;1368.46;Store1
321;Afternoon;806.7;Store1
322;Breakfast;878.0;Store1
323;Dinner;997.89;Store1
324;Evening;370.57;Store1
325;Late Night;0.0;Store1
326;Lunch;968.71;Store1
327;Morning;878.0;Store1
328;Regular Menu;3143.87;Store1
329;Total Day;4021.87;Store1
330;After 4PM;1438.61;Store1
331;Afternoon;575.47;Store1
332;Breakfast;852.11;Store1
333;Dinner;1193.01;Store1
334;Evening;245.6;Store1
335;Late Night;7.37;Store1
336;Lunch;957.52;Store1
337;Morning;934.7;Store1
338;Regular Menu;3054.19;Store1
339;Total Day;3906.3;Store1
340;After 4PM;1434.5;Store1
341;Afternoon;513.59;Store1
342;Breakfast;869.71;Store1
343;Dinner;1221.94;Store1
344;Evening;212.56;Store1
345;Late Night;0.0;Store1
346;Lunch;1057.58;Store1
347;Morning;942.18;Store1
348;Regular Menu;3078.14;Store1
349;Total Day;3947.85;Store1
350;After 4PM;1543.23;Store1
351;Afternoon;593.44;Store1
352;Breakfast;848.08;Store1
353;Dinner;1345.81;Store1
354;Evening;197.42;Store1
355;Late Night;0.0;Store1
356;Lunch;944.91;Store1
357;Morning;899.27;Store1
358;Regular Menu;3132.77;Store1
359;Total Day;3980.85;Store1
360;After 4PM;1885.31;Store1
361;Afternoon;602.6;Store1
362;Breakfast;959.26;Store1
363;Dinner;1591.47;Store1
364;Evening;293.84;Store1
365;Late Night;0.0;Store1
366;Lunch;922.97;Store1
367;Morning;1050.4;Store1
368;Regular Menu;3502.02;Store1
369;Total Day;4461.28;Store1
370;After 4PM;2084.13;Store1
371;Afternoon;745.88;Store1
372;Breakfast;975.27;Store1
373;Dinner;1659.6;Store1
374;Evening;424.53;Store1
375;Late Night;162.32;Store1
376;Lunch;945.13;Store1
377;Morning;1047.24;Store1
378;Regular Menu;3847.11;Store1
379;Total Day;4822.38;Store1
380;After 4PM;1481.14;Store1
381;Afternoon;545.35;Store1
382;Breakfast;1320.01;Store1
383;Dinner;1028.63;Store1
384;Evening;452.51;Store1
385;Late Night;82.43;Store1
386;Lunch;1140.59;Store1
387;Morning;1320.01;Store1
388;Regular Menu;3167.08;Store1
389;Total Day;4487.09;Store1
390;After 4PM;399.18;Store1
391;Afternoon;540.33;Store1
392;Breakfast;1092.68;Store1
393;Dinner;399.18;Store1
394;Evening;0.0;Store1
395;Late Night;0.0;Store1
396;Lunch;1049.47;Store1
397;Morning;1092.68;Store1
398;Regular Menu;1988.98;Store1
399;Total Day;3081.66;Store1
400;After 4PM;1484.11;Store1
401;Afternoon;576.4;Store1
402;Breakfast;773.59;Store1
403;Dinner;1213.78;Store1
404;Evening;270.33;Store1
405;Late Night;9.14;Store1
406;Lunch;876.75;Store1
407;Morning;861.39;Store1
408;Regular Menu;3025.06;Store1
409;Total Day;3798.65;Store1
410;After 4PM;1227.54;Store1
411;Afternoon;704.03;Store1
412;Breakfast;842.4;Store1
413;Dinner;1137.92;Store1
414;Evening;89.62;Store1
415;Late Night;0.0;Store1
416;Lunch;1180.79;Store1
417;Morning;915.4;Store1
418;Regular Menu;3185.36;Store1
419;Total Day;4027.76;Store1
420;After 4PM;1469.53;Store1
421;Afternoon;556.08;Store1
422;Breakfast;712.28;Store1
423;Dinner;1289.15;Store1
424;Evening;180.38;Store1
425;Late Night;7.28;Store1
426;Lunch;916.38;Store1
427;Morning;809.05;Store1
428;Regular Menu;3038.76;Store1
429;Total Day;3751.04;Store1
430;After 4PM;1835.94;Store1
431;Afternoon;494.0;Store1
432;Breakfast;859.65;Store1
433;Dinner;1416.48;Store1
434;Evening;419.46;Store1
435;Late Night;0.0;Store1
436;Lunch;1047.7;Store1
437;Morning;922.45;Store1
438;Regular Menu;3440.44;Store1
439;Total Day;4300.09;Store1
440;After 4PM;2238.06;Store1
441;Afternoon;620.64;Store1
442;Breakfast;882.29;Store1
443;Dinner;1799.0;Store1
444;Evening;439.06;Store1
445;Late Night;81.16;Store1
446;Lunch;1127.94;Store1
447;Morning;945.0;Store1
448;Regular Menu;4049.35;Store1
449;Total Day;4931.64;Store1
450;After 4PM;1512.77;Store1
451;Afternoon;733.82;Store1
452;Breakfast;1177.26;Store1
453;Dinner;1076.49;Store1
454;Evening;436.28;Store1
455;Late Night;179.75;Store1
456;Lunch;1267.9;Store1
457;Morning;1177.26;Store1
458;Regular Menu;3514.49;Store1
459;Total Day;4691.75;Store1
460;After 4PM;1164.53;Store1
461;Afternoon;560.55;Store1
462;Breakfast;1086.44;Store1
463;Dinner;1000.46;Store1
464;Evening;164.07;Store1
