;DayOfWeek;POS Total Units Sold Promo and Regular;Encoded_REST_KEY
0;Saturday;25;Store1
1;Saturday;10;Store2
2;Saturday;9;Store3
3;Saturday;24;Store4
4;Sunday;28;Store1
5;Sunday;15;Store2
6;Sunday;12;Store3
7;Sunday;25;Store4
8;Monday;21;Store1
9;Monday;32;Store2
10;Monday;33;Store3
11;Monday;28;Store4
12;Tuesday;28;Store1
13;Tuesday;23;Store2
14;Tuesday;15;Store3
15;Tuesday;32;Store4
16;Wednesday;37;Store1
17;Wednesday;24;Store2
18;Wednesday;17;Store3
19;Wednesday;34;Store4
20;Thursday;50;Store1
21;Thursday;39;Store2
22;Thursday;23;Store3
23;Thursday;38;Store4
24;Friday;45;Store1
25;Friday;23;Store2
26;Friday;32;Store3
27;Friday;40;Store4
28;Saturday;52;Store1
29;Saturday;24;Store2
30;Saturday;12;Store3
31;Saturday;34;Store4
32;Sunday;28;Store1
33;Sunday;17;Store2
34;Sunday;7;Store3
35;Sunday;25;Store4
36;Monday;28;Store1
37;Monday;33;Store2
38;Monday;8;Store3
39;Monday;30;Store4
40;Tuesday;25;Store1
41;Tuesday;26;Store2
42;Tuesday;21;Store3
43;Tuesday;27;Store4
44;Wednesday;27;Store1
45;Wednesday;16;Store2
46;Wednesday;14;Store3
47;Wednesday;34;Store4
48;Thursday;39;Store1
49;Thursday;22;Store2
50;Thursday;16;Store3
51;Thursday;32;Store4
52;Friday;46;Store1
53;Friday;30;Store2
54;Friday;28;Store3
55;Friday;41;Store4
56;Saturday;32;Store1
57;Saturday;19;Store2
58;Saturday;18;Store3
59;Saturday;28;Store4
60;Sunday;26;Store1
61;Sunday;17;Store2
62;Sunday;14;Store3
63;Sunday;21;Store4
64;Monday;25;Store1
65;Monday;11;Store2
66;Monday;13;Store3
67;Monday;29;Store4
68;Tuesday;27;Store1
69;Tuesday;25;Store2
70;Tuesday;14;Store3
71;Tuesday;29;Store4
72;Wednesday;23;Store1
73;Wednesday;31;Store2
74;Wednesday;25;Store3
75;Wednesday;21;Store4
76;Thursday;41;Store1
77;Thursday;28;Store2
78;Thursday;17;Store3
79;Thursday;25;Store4
80;Friday;38;Store1
81;Friday;18;Store2
82;Friday;28;Store3
83;Friday;29;Store4
