Encoded_REST_KEY;day;POS Total Units Sold Promo and Regular
Store1;1;1517
Store1;2;1452
Store1;3;1536
Store1;4;1435
Store1;5;1587
Store1;6;1737
Store1;7;1843
Store1;8;1677
Store1;9;1476
Store1;10;1438
Store1;11;1389
Store1;12;1505
Store1;13;1742
Store1;14;1847
Store1;15;1733
Store1;16;1406
Store1;17;1451
Store1;18;1391
Store1;19;1632
Store1;20;1632
Store1;21;1699
Store1;22;1782
Store1;23;1402
Store1;24;1527
Store1;25;1491
Store1;26;1712
Store1;27;1866
Store1;28;2025
Store1;29;1765
Store1;30;1505
Store1;31;1513
Store2;1;1173
Store2;2;1497
Store2;3;1824
Store2;4;1932
Store2;5;2020
Store2;6;2096
Store2;7;1880
Store2;8;1135
Store2;9;1445
Store2;10;1829
Store2;11;2041
Store2;12;1973
Store2;13;2152
Store2;14;1756
Store2;15;1267
Store2;16;1391
Store2;17;1740
Store2;18;1889
Store2;19;2121
Store2;20;2162
Store2;21;1854
Store2;22;1372
Store2;23;512
Store2;24;1748
Store2;25;2003
Store2;26;2108
Store2;27;2255
Store2;28;1915
Store2;29;1407
Store2;30;1424
Store2;31;1219
Store3;1;1119
Store3;2;1207
Store3;3;1385
Store3;4;1394
Store3;5;1444
Store3;6;1646
Store3;7;1458
Store3;8;1130
Store3;9;1151
Store3;10;1414
Store3;11;1409
Store3;12;1436
Store3;13;1511
Store3;14;1517
Store3;15;1108
Store3;16;1054
Store3;17;1319
Store3;18;1424
Store3;19;1430
Store3;20;1666
Store3;21;1525
Store3;22;736
Store3;23;1052
Store3;24;1491
Store3;25;1435
Store3;26;1528
Store3;27;1616
Store3;28;1680
Store3;29;1250
Store3;30;1316
Store3;31;1172
Store4;1;1143
Store4;2;1149
Store4;3;1399
Store4;4;1257
Store4;5;1222
Store4;6;1432
Store4;7;1690
Store4;8;1475
Store4;9;1210
Store4;10;1317
Store4;11;1313
Store4;12;1369
Store4;13;1457
Store4;14;1766
Store4;15;1564
Store4;16;1250
Store4;17;1362
Store4;18;1390
Store4;19;1333
Store4;20;1470
Store4;21;1607
Store4;22;1455
Store4;23;1267
Store4;24;1282
Store4;25;1368
Store4;26;1500
Store4;27;1518
Store4;28;1645
Store4;29;1540
Store4;30;1266
Store4;31;1317
