;Encoded_REST_KEY;Reporting Day;Daypart Sales $;Daypart Transaction Qty
0;Store1;2011-01-01;13471.93;2012
1;Store1;2011-01-02;13434.07;2129
2;Store1;2011-01-03;13164.880000000001;2501
3;Store1;2011-01-04;13278.05;2470
4;Store1;2011-01-05;13485.779999999999;2621
5;Store1;2011-01-06;15269.15;2686
6;Store1;2011-01-07;16713.59;2940
7;Store1;2011-01-08;15024.84;2509
8;Store1;2011-01-09;9644.16;1559
9;Store1;2011-01-10;12889.2;2456
10;Store1;2011-01-11;13310.82;2462
11;Store1;2011-01-12;12729.93;2349
12;Store1;2011-01-13;14736.210000000001;2657
13;Store1;2011-01-14;17114.14;3035
14;Store1;2011-01-15;15767.77;2549
15;Store1;2011-01-16;11987.9;1975
16;Store1;2011-01-17;12768.71;2205
17;Store1;2011-01-18;13417.710000000001;2580
18;Store1;2011-01-19;12314.58;2408
19;Store1;2011-01-20;15577.93;2776
20;Store1;2011-01-21;16005.789999999999;2825
21;Store1;2011-01-22;15431.529999999999;2650
22;Store1;2011-01-23;12404.79;1991
23;Store1;2011-01-24;12089.77;2344
24;Store1;2011-01-25;14330.11;2547
25;Store1;2011-01-26;13304.83;2591
26;Store1;2011-01-27;14890.650000000001;2763
27;Store1;2011-01-28;17091.12;2837
28;Store1;2011-01-29;16466.95;2718
29;Store1;2011-01-30;12856.41;2089
30;Store1;2011-01-31;12336.19;2444
31;Store2;2011-01-01;6278.389999999999;935
32;Store2;2011-01-02;10635.5;1588
33;Store2;2011-01-03;15142.25;2955
34;Store2;2011-01-04;15836.94;3133
35;Store2;2011-01-05;16515.96;3206
36;Store2;2011-01-06;17006.75;3367
37;Store2;2011-01-07;18056.58;3366
38;Store2;2011-01-08;13180.26;2291
39;Store2;2011-01-09;8355.67;1462
40;Store2;2011-01-10;15046.0;3109
41;Store2;2011-01-11;16273.82;3270
42;Store2;2011-01-12;16259.41;3116
43;Store2;2011-01-13;17527.190000000002;3405
44;Store2;2011-01-14;18376.41;3506
45;Store2;2011-01-15;12163.900000000001;2108
46;Store2;2011-01-16;8846.470000000001;1435
47;Store2;2011-01-17;13566.79;2632
48;Store2;2011-01-18;15564.150000000001;3295
49;Store2;2011-01-19;16080.509999999998;3220
50;Store2;2011-01-20;17250.07;3446
51;Store2;2011-01-21;18487.68;3468
52;Store2;2011-01-22;13202.86;2280
53;Store2;2011-01-23;8130.17;1449
54;Store2;2011-01-25;14502.44;3000
55;Store2;2011-01-26;16146.04;3287
56;Store2;2011-01-27;18261.2;3581
57;Store2;2011-01-28;18443.78;3392
58;Store2;2011-01-29;13393.46;2246
59;Store2;2011-01-30;9901.43;1714
60;Store2;2011-01-31;15498.2;3054
61;Store3;2011-01-01;9063.32;1177
62;Store3;2011-01-02;9795.42;1477
63;Store3;2011-01-03;14107.94;2303
64;Store3;2011-01-04;13433.94;2231
65;Store3;2011-01-05;12925.47;2323
66;Store3;2011-01-06;14117.36;2484
67;Store3;2011-01-07;16171.86;2555
68;Store3;2011-01-08;11166.46;1624
69;Store3;2011-01-09;9049.75;1259
70;Store3;2011-01-10;11745.369999999999;2104
71;Store3;2011-01-11;12591.78;2283
72;Store3;2011-01-12;11612.81;2123
73;Store3;2011-01-13;12237.16;2246
74;Store3;2011-01-14;15256.37;2438
75;Store3;2011-01-15;11649.57;1632
76;Store3;2011-01-16;9693.96;1325
77;Store3;2011-01-17;11283.529999999999;2003
78;Store3;2011-01-18;12724.14;2224
79;Store3;2011-01-19;13709.85;2459
80;Store3;2011-01-20;12954.09;2283
81;Store3;2011-01-21;17937.83;2807
82;Store3;2011-01-22;11235.099999999999;1688
83;Store3;2011-01-24;11340.21;2099
84;Store3;2011-01-25;14443.91;2504
85;Store3;2011-01-26;13352.27;2363
86;Store3;2011-01-27;13931.82;2442
87;Store3;2011-01-28;15794.59;2524
88;Store3;2011-01-29;11390.51;1652
89;Store3;2011-01-30;11052.65;1502
90;Store3;2011-01-31;14036.720000000001;2443
91;Store4;2011-01-01;11471.27;1704
92;Store4;2011-01-02;9435.099999999999;1598
93;Store4;2011-01-03;12316.5;2402
94;Store4;2011-01-04;13695.91;2662
95;Store4;2011-01-05;12164.970000000001;2418
96;Store4;2011-01-06;13613.41;2615
97;Store4;2011-01-07;16562.15;3044
98;Store4;2011-01-08;14107.369999999999;2388
99;Store4;2011-01-09;11535.130000000001;1849
100;Store4;2011-01-10;11682.8;2356
101;Store4;2011-01-11;11263.54;2301
102;Store4;2011-01-12;12449.02;2405
103;Store4;2011-01-13;14746.3;2909
104;Store4;2011-01-14;14146.02;2563
105;Store4;2011-01-15;16124.32;2768
106;Store4;2011-01-16;12325.42;1925
107;Store4;2011-01-17;10283.05;1882
108;Store4;2011-01-18;12857.22;2549
109;Store4;2011-01-19;13761.23;2693
110;Store4;2011-01-20;14064.67;2656
111;Store4;2011-01-21;15486.66;2867
112;Store4;2011-01-22;13454.92;2351
113;Store4;2011-01-23;11463.72;1870
114;Store4;2011-01-24;12960.0;2575
115;Store4;2011-01-25;11946.33;2405
116;Store4;2011-01-26;11992.18;2432
117;Store4;2011-01-27;15143.48;2823
118;Store4;2011-01-28;14036.74;2531
119;Store4;2011-01-29;15470.57;2605
120;Store4;2011-01-30;9631.86;1545
